Date,Price,Open,High,Low,Vol.,Change %
30-03-2024,0.6242,0.63003,0.63167,0.623,692.26M,-0.92%
29-03-2024,0.63001,0.62452,0.64441,0.60973,755.22M,0.88%
28-03-2024,0.62454,0.6118,0.6371,0.60466,720.46M,2.08%
27-03-2024,0.61183,0.63179,0.63464,0.60661,815.79M,-3.16%
26-03-2024,0.63181,0.64057,0.65289,0.62567,706.20M,-1.37%
25-03-2024,0.64058,0.63248,0.66193,0.62653,844.26M,1.28%
24-03-2024,0.63246,0.61671,0.63562,0.61344,451.63M,2.55%
23-03-2024,0.61672,0.61163,0.63242,0.60438,422.86M,0.83%
22-03-2024,0.61165,0.64038,0.6449,0.59972,839.02M,-4.54%
21-03-2024,0.64076,0.61118,0.65397,0.59769,1.16B,4.83%
20-03-2024,0.61126,0.58482,0.61837,0.56954,1.20B,4.48%
19-03-2024,0.58504,0.64527,0.64845,0.57221,1.52B,-9.33%
18-03-2024,0.64523,0.61913,0.66766,0.59467,1.19B,4.26%
17-03-2024,0.61889,0.60302,0.62486,0.58764,756.58M,2.64%
16-03-2024,0.60299,0.63415,0.64601,0.59452,940.98M,-4.91%
15-03-2024,0.6341,0.66916,0.67515,0.59994,1.60B,-5.24%
14-03-2024,0.66917,0.68877,0.70731,0.64128,1.25B,-2.83%
13-03-2024,0.68866,0.688,0.70218,0.66888,941.43M,0.10%
12-03-2024,0.688,0.71914,0.73134,0.66151,1.65B,-4.32%
11-03-2024,0.71906,0.6079,0.74354,0.58569,2.73B,18.29%
10-03-2024,0.60789,0.62005,0.62764,0.59679,657.43M,-1.96%
09-03-2024,0.62006,0.62007,0.63205,0.61629,629.31M,0.00%
08-03-2024,0.62006,0.62718,0.63368,0.60373,943.57M,-1.14%
07-03-2024,0.62719,0.61212,0.6387,0.60707,1.11B,2.46%
06-03-2024,0.61211,0.59078,0.62352,0.5756,1.19B,3.61%
05-03-2024,0.5908,0.64747,0.66813,0.54537,2.27B,-8.79%
04-03-2024,0.64777,0.62725,0.66453,0.62018,1.53B,3.25%
03-03-2024,0.62738,0.64403,0.64426,0.59364,950.23M,-2.61%
02-03-2024,0.64417,0.60114,0.64961,0.59957,1.28B,7.16%
01-03-2024,0.60113,0.58607,0.60329,0.58328,793.09M,2.58%
29-02-2024,0.58602,0.57506,0.6234,0.56757,1.86B,1.91%
28-02-2024,0.57506,0.58591,0.60528,0.53928,1.49B,-1.88%
27-02-2024,0.58608,0.55067,0.59669,0.54777,1.18B,6.42%
26-02-2024,0.55071,0.54245,0.55262,0.52891,572.92M,1.52%
25-02-2024,0.54245,0.54491,0.54865,0.54201,277.12M,-0.45%
24-02-2024,0.54492,0.5341,0.54796,0.53141,275.72M,2.03%
23-02-2024,0.5341,0.54121,0.54363,0.52599,593.65M,-1.31%
22-02-2024,0.54121,0.54901,0.55153,0.53682,518.46M,-1.42%
21-02-2024,0.54903,0.56228,0.5629,0.53347,621.42M,-2.36%
20-02-2024,0.56228,0.56259,0.57481,0.54523,794.14M,-0.06%
19-02-2024,0.5626,0.55703,0.5677,0.55434,509.93M,1.00%
18-02-2024,0.55703,0.54958,0.56241,0.54736,277.67M,1.35%
17-02-2024,0.5496,0.56427,0.5654,0.53987,353.74M,-2.60%
16-02-2024,0.56428,0.5621,0.57823,0.55303,695.31M,0.39%
15-02-2024,0.56209,0.53773,0.57617,0.53741,850.58M,4.53%
14-02-2024,0.53772,0.52466,0.54177,0.52032,558.03M,2.51%
13-02-2024,0.52453,0.53147,0.53362,0.51553,537.62M,-1.30%
12-02-2024,0.53146,0.5262,0.5374,0.51449,515.17M,1.00%
11-02-2024,0.52619,0.52379,0.53586,0.52161,313.00M,0.46%
10-02-2024,0.52378,0.52603,0.52808,0.51876,203.09M,-0.42%
09-02-2024,0.52601,0.51459,0.52801,0.514,509.99M,2.22%
08-02-2024,0.5146,0.5138,0.51902,0.51023,433.54M,0.16%
07-02-2024,0.51379,0.50509,0.51548,0.49944,460.82M,1.72%
06-02-2024,0.50509,0.50678,0.51108,0.49898,396.05M,-0.34%
05-02-2024,0.5068,0.50318,0.51381,0.49757,409.98M,0.72%
04-02-2024,0.50317,0.5186,0.51909,0.50175,208.50M,-2.98%
03-02-2024,0.51861,0.51075,0.52628,0.50608,357.19M,1.54%
02-02-2024,0.51074,0.50581,0.51385,0.49902,455.94M,0.97%
01-02-2024,0.50582,0.50328,0.51047,0.49041,438.79M,0.50%
31-01-2024,0.50328,0.51065,0.51422,0.49105,623.35M,-1.44%
30-01-2024,0.51064,0.53509,0.53902,0.50684,816.71M,-4.57%
29-01-2024,0.5351,0.52424,0.53969,0.52012,399.50M,2.08%
28-01-2024,0.52417,0.53033,0.53544,0.52133,191.84M,-1.16%
27-01-2024,0.53032,0.53215,0.53462,0.52649,163.67M,-0.34%
26-01-2024,0.53215,0.51373,0.53577,0.50851,455.51M,3.59%
25-01-2024,0.51371,0.51822,0.51822,0.5041,349.93M,-0.86%
24-01-2024,0.51819,0.51812,0.51923,0.51112,363.13M,0.02%
23-01-2024,0.51811,0.5274,0.53169,0.49653,613.25M,-1.76%
22-01-2024,0.52739,0.54642,0.54926,0.51985,446.90M,-3.46%
21-01-2024,0.54629,0.55366,0.55519,0.54591,168.99M,-1.34%
20-01-2024,0.55372,0.54429,0.55487,0.53915,281.17M,1.73%
19-01-2024,0.5443,0.5518,0.55363,0.52274,576.03M,-1.36%
18-01-2024,0.55179,0.56857,0.569,0.54494,404.83M,-2.96%
17-01-2024,0.5686,0.57568,0.57626,0.5623,330.82M,-1.23%
16-01-2024,0.57567,0.57562,0.57967,0.56731,330.96M,0.01%
15-01-2024,0.57561,0.57646,0.58912,0.56883,356.62M,-0.15%
14-01-2024,0.57648,0.5747,0.59286,0.57179,264.38M,0.31%
13-01-2024,0.5747,0.57014,0.57739,0.57014,216.83M,0.79%
12-01-2024,0.57018,0.60186,0.60326,0.55689,625.57M,-5.26%
11-01-2024,0.60181,0.60044,0.62238,0.58605,698.54M,0.22%
10-01-2024,0.60048,0.56696,0.61427,0.55008,818.70M,5.92%
09-01-2024,0.56694,0.57739,0.57813,0.55577,702.44M,-1.81%
08-01-2024,0.57738,0.55114,0.58148,0.54514,767.02M,4.76%
07-01-2024,0.55113,0.56796,0.57272,0.54622,381.19M,-2.95%
06-01-2024,0.56791,0.57572,0.57572,0.55701,400.49M,-1.36%
05-01-2024,0.57572,0.58699,0.58844,0.55669,670.40M,-1.90%
04-01-2024,0.5869,0.58222,0.59369,0.57034,612.73M,0.80%
03-01-2024,0.58222,0.62446,0.63917,0.50211,1.39B,-6.77%
02-01-2024,0.62449,0.62941,0.63938,0.6217,454.63M,-0.79%
01-01-2024,0.62948,0.61541,0.63089,0.60854,205.68M,2.29%
31-12-2023,0.61541,0.62073,0.62791,0.60707,202.66M,-0.86%
30-12-2023,0.62073,0.62297,0.62945,0.61597,207.77M,-0.36%
29-12-2023,0.62296,0.63451,0.63618,0.61333,447.90M,-1.82%
28-12-2023,0.63451,0.6341,0.65693,0.62538,647.41M,0.02%
27-12-2023,0.63437,0.62195,0.64134,0.61329,522.01M,2.00%
26-12-2023,0.62196,0.64607,0.64618,0.60291,593.53M,-3.73%
25-12-2023,0.64607,0.61205,0.64853,0.60834,663.83M,5.56%
24-12-2023,0.61202,0.61951,0.62892,0.60707,430.86M,-1.21%
23-12-2023,0.61952,0.6243,0.62478,0.61146,281.41M,-0.77%
22-12-2023,0.6243,0.62405,0.63102,0.6157,525.20M,0.04%
21-12-2023,0.62405,0.61698,0.62483,0.61082,423.84M,1.15%
20-12-2023,0.61697,0.60449,0.62607,0.60124,535.82M,2.07%
19-12-2023,0.60448,0.61242,0.61659,0.59743,444.30M,-1.29%
